audio_1|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
audio_623|The Hugging Face Hub is a platform centralized web service for hosting20|The Hugging Face Hub is a platform centralized web service for hosting20
audio_624|In addition to Transformers and the Hugging Face Hub, the Hugging Face ecosystem contains libraries for other tasks, such as dataset processing "data sets", model evaluation "Evaluate", and machine learning demos "Gradio".21|In addition to Transformers and the Hugging Face Hub, the Hugging Face ecosystem contains libraries for other tasks, such as dataset processing "data sets", model evaluation "Evaluate", and machine learning demos "Gradio".21
audio_625|The safetensors format was developed around 2021 to solve problems with the pickle format in python|The safetensors format was developed around 2021 to solve problems with the pickle format in python
audio_626|Compared to pickle format, it allows lazy loading, and avoids security problems.22 After a security audit, it became the default format in 2023.23|Compared to pickle format, it allows lazy loading, and avoids security problems.22 After a security audit, it became the default format in 2023.23
audio_627|The file format|The file format
audio_628|International Business Machines Corporation using the trademark IBM, nicknamed Big Blue,6 is an American multinational technology company headquartered in Armonk, New York and present in over 175 countries.78 IBM is the largest industrial research organization in the world, with 19 research facilities across a dozen countries, having held the record for most annual U.S|International Business Machines Corporation using the trademark IBM, nicknamed Big Blue,6 is an American multinational technology company headquartered in Armonk, New York and present in over 175 countries.78 IBM is the largest industrial research organization in the world, with 19 research facilities across a dozen countries, having held the record for most annual U.S
audio_629|During the 1960s and 1970s, the IBM mainframe, exemplified by the System360, was the world's dominant computing platform, with the company producing 80 percent of computers in the U.S|During the 1960s and 1970s, the IBM mainframe, exemplified by the System360, was the world's dominant computing platform, with the company producing 80 percent of computers in the U.S
audio_630|As one of the world's oldest and largest technology companies, IBM has been responsible for several technological innovations, including the automated teller machine ATM, dynamic random-access memory DRAM, the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the S Q L programming language, and the UPC barcode|As one of the world's oldest and largest technology companies, IBM has been responsible for several technological innovations, including the automated teller machine ATM, dynamic random-access memory DRAM, the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the S Q L programming language, and the UPC barcode
audio_631|Pitrap patented the computing scale in 188516 Alexander Dey invented the dial recorder 188817 Herman Hollerith patented the Electric Tabulating Machine 188918 and Willard Bundy invented a time clock to record workers' arrival and departure times on a paper tape 1889.19 On June 16, 1911, their four companies were amalgamated in New York State by Charles Ranlett Flint forming a fifth company, the Computing-Tabulating-Recording Company CTR based in Endicott, New York.120 The five companies had 1,300 employees and offices and plants in Endicott and Binghamton, New York Dayton, Ohio Detroit, Michigan Washington, D.C. and Toronto, Canada.21|Pitrap patented the computing scale in 188516 Alexander Dey invented the dial recorder 188817 Herman Hollerith patented the Electric Tabulating Machine 188918 and Willard Bundy invented a time clock to record workers' arrival and departure times on a paper tape 1889.19 On June 16, 1911, their four companies were amalgamated in New York State by Charles Ranlett Flint forming a fifth company, the Computing-Tabulating-Recording Company CTR based in Endicott, New York.120 The five companies had 1,300 employees and offices and plants in Endicott and Binghamton, New York Dayton, Ohio Detroit, Michigan Washington, D.C. and Toronto, Canada.21
audio_632|Watson, Sr., fired from the National Cash Register Company by John Henry Patterson, called on Flint and, in 1914, was offered a position at CTR.22 Watson joined CTR as general manager and then, 11 months later, was made President when antitrust cases relating to his time at NCR were resolved.23 Having learned Patterson's pioneering business practices, Watson proceeded to put the stamp of NCR onto CTR's companies.24 He implemented sales conventions, "generous sales incentives, a focus on customer service, an insistence on well-groomed, dark-suited salesmen and had an evangelical fervor for instilling company pride and loyalty in every worker".2526 His favorite slogan, "THINK", became a mantra for each company's employees.25 During Watson's first four years, revenues reached 9 million 158 million today and the company's operations expanded to Europe, South America, Asia and Australia.25 Watson never liked the clumsy hyphenated name "Computing-Tabulating-Recording Company" and chose to replace it with the more expansive title "International Business Machines" which had previously been used as the name of CTR's Canadian Division27 the name was changed on February 14, 1924.28 By 1933, most of the subsidiaries had been merged into one company, IBM.29|Watson, Sr., fired from the National Cash Register Company by John Henry Patterson, called on Flint and, in 1914, was offered a position at CTR.22 Watson joined CTR as general manager and then, 11 months later, was made President when antitrust cases relating to his time at NCR were resolved.23 Having learned Patterson's pioneering business practices, Watson proceeded to put the stamp of NCR onto CTR's companies.24 He implemented sales conventions, "generous sales incentives, a focus on customer service, an insistence on well-groomed, dark-suited salesmen and had an evangelical fervor for instilling company pride and loyalty in every worker".2526 His favorite slogan, "THINK", became a mantra for each company's employees.25 During Watson's first four years, revenues reached 9 million 158 million today and the company's operations expanded to Europe, South America, Asia and Australia.25 Watson never liked the clumsy hyphenated name "Computing-Tabulating-Recording Company" and chose to replace it with the more expansive title "International Business Machines" which had previously been used as the name of CTR's Canadian Division27 the name was changed on February 14, 1924.28 By 1933, most of the subsidiaries had been merged into one company, IBM.29
audio_633|The Nazis made extensive use of Hollerith punch card and alphabetical accounting equipment and IBM's majority-owned German subsidiary, Deutsche Hollerith Maschinen GmbH Dehomag, supplied this equipment from the early 1930s|The Nazis made extensive use of Hollerith punch card and alphabetical accounting equipment and IBM's majority-owned German subsidiary, Deutsche Hollerith Maschinen GmbH Dehomag, supplied this equipment from the early 1930s
audio_634|This equipment was critical to Nazi efforts to categorize citizens of both Germany and other nations that fell under Nazi control through ongoing censuses|This equipment was critical to Nazi efforts to categorize citizens of both Germany and other nations that fell under Nazi control through ongoing censuses
audio_635|IBM built the Automatic Sequence Controlled Calculator, an electromechanical computer, during World War II|IBM built the Automatic Sequence Controlled Calculator, an electromechanical computer, during World War II
audio_636|IBM also developed and manufactured the Saturn V's Instrument Unit and Apollo spacecraft guidance computers.|IBM also developed and manufactured the Saturn V's Instrument Unit and Apollo spacecraft guidance computers.
audio_637|Together the 360 and 370 made the IBM mainframe the dominant mainframe computer and the dominant computing platform in the industry throughout this period and into the early 1980s|Together the 360 and 370 made the IBM mainframe the dominant mainframe computer and the dominant computing platform in the industry throughout this period and into the early 1980s
audio_638|They and the operating systems that ran on them such as OSVS1 and MVS, and the middleware built on top of those such as the CICS transaction processing monitor, had a near-monopoly-level market share and became the thing IBM was most known for during this period.32|They and the operating systems that ran on them such as OSVS1 and MVS, and the middleware built on top of those such as the CICS transaction processing monitor, had a near-monopoly-level market share and became the thing IBM was most known for during this period.32
audio_639|In 1969, the United States of America alleged that IBM violated the Sherman Antitrust Act by monopolizing or attempting to monopolize the general-purpose electronic digital computer system market, specifically computers designed primarily for business, and subsequently alleged that IBM violated the antitrust laws in IBM's actions directed against leasing companies and plug-compatible peripheral manufacturers|In 1969, the United States of America alleged that IBM violated the Sherman Antitrust Act by monopolizing or attempting to monopolize the general-purpose electronic digital computer system market, specifically computers designed primarily for business, and subsequently alleged that IBM violated the antitrust laws in IBM's actions directed against leasing companies and plug-compatible peripheral manufacturers
audio_640|Shortly after, IBM unbundled its software and services in what many observers believed was a direct result of the lawsuit, creating a competitive market for software|Shortly after, IBM unbundled its software and services in what many observers believed was a direct result of the lawsuit, creating a competitive market for software
audio_641|Also in 1969, IBM engineer Forrest Parry invented the magnetic stripe card that would become ubiquitous for creditdebitATM cards, driver's licenses, rapid transit cards and a multitude of other identity and access control applications|Also in 1969, IBM engineer Forrest Parry invented the magnetic stripe card that would become ubiquitous for creditdebitATM cards, driver's licenses, rapid transit cards and a multitude of other identity and access control applications
audio_642|In 1991 IBM began spinning off its many divisions into autonomous subsidiaries so-called "Baby Blues" in an attempt to make the company more manageable and to streamline IBM by having other investors finance those companies.3637 These included AdStar, dedicated to disk drives and other data storage products IBM Application Business Systems, dedicated to mid-range computers IBM Enterprise Systems, dedicated to mainframes Pennant Systems, dedicated to mid-range and large printers Lexmark, dedicated to small printers and more.38 Lexmark was acquired by Clayton  Dubilier in a leveraged buyout shortly after its formation.39|In 1991 IBM began spinning off its many divisions into autonomous subsidiaries so-called "Baby Blues" in an attempt to make the company more manageable and to streamline IBM by having other investors finance those companies.3637 These included AdStar, dedicated to disk drives and other data storage products IBM Application Business Systems, dedicated to mid-range computers IBM Enterprise Systems, dedicated to mainframes Pennant Systems, dedicated to mid-range and large printers Lexmark, dedicated to small printers and more.38 Lexmark was acquired by Clayton  Dubilier in a leveraged buyout shortly after its formation.39
audio_643|In September 1992, IBM completed the spin-off of their various non-mainframe and non-midrange, personal computer manufacturing divisions, combining them into an autonomous wholly owned subsidiary known as the IBM Personal Computer Company IBM PC Co..four oh four1 This corporate restructuring came after IBM reported a sharp drop in profit margins during the second quarter of fiscal year 1992 market analysts attributed the drop to a fierce price war in the personal computer market over the summer of 1992.42 The corporate restructuring was one of the largest and most expensive in history up to that point.43 By the summer of 1993, the IBM PC Co|In September 1992, IBM completed the spin-off of their various non-mainframe and non-midrange, personal computer manufacturing divisions, combining them into an autonomous wholly owned subsidiary known as the IBM Personal Computer Company IBM PC Co..four oh four1 This corporate restructuring came after IBM reported a sharp drop in profit margins during the second quarter of fiscal year 1992 market analysts attributed the drop to a fierce price war in the personal computer market over the summer of 1992.42 The corporate restructuring was one of the largest and most expensive in history up to that point.43 By the summer of 1993, the IBM PC Co
audio_644|had divided into multiple business units itself, including Ambra Computer Corporation and the IBM Power Personal Systems Group, the former an attempt to design and market "clone" computers of IBM's own architecture and the latter responsible for IBM's PowerPC-based workstations.4445|had divided into multiple business units itself, including Ambra Computer Corporation and the IBM Power Personal Systems Group, the former an attempt to design and market "clone" computers of IBM's own architecture and the latter responsible for IBM's PowerPC-based workstations.4445
audio_645|In 1993, IBM posted an 8 billion loss  at the time the biggest in American corporate history.46 Lou Gerstner was hired as CEO from RJR Nabisco to turn the company around.47 In two hundred2 IBM acquired PwC Consulting, the consulting arm of PwC which was merged into its IBM Global Services.4849|In 1993, IBM posted an 8 billion loss  at the time the biggest in American corporate history.46 Lou Gerstner was hired as CEO from RJR Nabisco to turn the company around.47 In two hundred2 IBM acquired PwC Consulting, the consulting arm of PwC which was merged into its IBM Global Services.4849
audio_646|On September 14, two hundred4, LG and IBM announced that their business alliance in the South Korean market would end at the end of that year|On September 14, two hundred4, LG and IBM announced that their business alliance in the South Korean market would end at the end of that year
audio_647|In two hundred5, the company sold all of its personal computer business to Chinese technology company Lenovo58 and, in two hundred9, it acquired software company SPSS Inc|In two hundred5, the company sold all of its personal computer business to Chinese technology company Lenovo58 and, in two hundred9, it acquired software company SPSS Inc
audio_648|In 2012, IBM announced it had agreed to buy Kenexa and Texas Memory Systems,59 and a year later it also acquired SoftLayer Technologies, a web hosting service, in a deal worth around 2 billion.60 Also that year, the company designed a video surveillance system for Davao City.61|In 2012, IBM announced it had agreed to buy Kenexa and Texas Memory Systems,59 and a year later it also acquired SoftLayer Technologies, a web hosting service, in a deal worth around 2 billion.60 Also that year, the company designed a video surveillance system for Davao City.61
audio_649|In 2014 IBM announced it would sell its x86 server division to Lenovo for 2.1 billion.62 while continuing to offer Power ISA-based servers.63 Also that year, IBM began announcing several major partnerships with other companies, including Apple Inc.,6465 Twitter,66 Facebook,67 Tencent,68 Cisco,69 UnderArmour,70 Box,71 Microsoft,72 VMware,73 CSC,74 Macy's,75 Sesame Workshop,76 the parent company of Sesame Street, and Salesforce.com.77|In 2014 IBM announced it would sell its x86 server division to Lenovo for 2.1 billion.62 while continuing to offer Power ISA-based servers.63 Also that year, IBM began announcing several major partnerships with other companies, including Apple Inc.,6465 Twitter,66 Facebook,67 Tencent,68 Cisco,69 UnderArmour,70 Box,71 Microsoft,72 VMware,73 CSC,74 Macy's,75 Sesame Workshop,76 the parent company of Sesame Street, and Salesforce.com.77
audio_650|In 2015, IBM announced three major acquisitions Merge Healthcare for 1 billion,79 data storage vendor Cleversafe, and all digital assets from The Weather Company, including Weather.com and the Weather Channel mobile app.8081 Also that year, IBM employees created the film A Boy and His Atom, which was the first molecule movie to tell a story|In 2015, IBM announced three major acquisitions Merge Healthcare for 1 billion,79 data storage vendor Cleversafe, and all digital assets from The Weather Company, including Weather.com and the Weather Channel mobile app.8081 Also that year, IBM employees created the film A Boy and His Atom, which was the first molecule movie to tell a story
audio_651|In 2016, IBM acquired video conferencing service Ustream and formed a new cloud video unit.8283 In April 2016, it posted a 14-year low in quarterly sales.84 The following month, Groupon sued IBM accusing it of patent infringement, two months after IBM accused Groupon of patent infringement in a separate lawsuit.85|In 2016, IBM acquired video conferencing service Ustream and formed a new cloud video unit.8283 In April 2016, it posted a 14-year low in quarterly sales.84 The following month, Groupon sued IBM accusing it of patent infringement, two months after IBM accused Groupon of patent infringement in a separate lawsuit.85
audio_652|In 2015, IBM bought the digital part of The Weather Company,86 Truven Health Analytics for 2.6 billion in 2016, and in October 2018, IBM announced its intention to acquire Red Hat for 34 billion,878889 which was completed on July 9, 2019.90|In 2015, IBM bought the digital part of The Weather Company,86 Truven Health Analytics for 2.6 billion in 2016, and in October 2018, IBM announced its intention to acquire Red Hat for 34 billion,878889 which was completed on July 9, 2019.90
audio_653|In 2021, IBM announced the acquisition of the enterprise software company Turbonomic for 1.5 billion.101 In January 2022, IBM announced it would sell Watson Health to private equity firm Francisco Partners.102|In 2021, IBM announced the acquisition of the enterprise software company Turbonomic for 1.5 billion.101 In January 2022, IBM announced it would sell Watson Health to private equity firm Francisco Partners.102
audio_654|In late 2022, IBM started a collaboration with new Japanese manufacturer Rapidus,105 which led GlobalFoundries to file a lawsuit against IBM the following year.106|In late 2022, IBM started a collaboration with new Japanese manufacturer Rapidus,105 which led GlobalFoundries to file a lawsuit against IBM the following year.106
audio_655|In 2023, IBM acquired Manta Software Inc|In 2023, IBM acquired Manta Software Inc
audio_656|governance capabilities for an undisclosed amount.107 On November 16, 2023, IBM suspended ads on Twitter after ads were found next to pro-Nazi content.108109|governance capabilities for an undisclosed amount.107 On November 16, 2023, IBM suspended ads on Twitter after ads were found next to pro-Nazi content.108109
audio_657|In December 2023, IBM announced it would acquire Software AG's StreamSets and webMethods platforms for 2.13 billion 2.33 billion.110|In December 2023, IBM announced it would acquire Software AG's StreamSets and webMethods platforms for 2.13 billion 2.33 billion.110
audio_658|Due to a lack of foresight by IBM,111112 the PC was not well protected by intellectual property laws|Due to a lack of foresight by IBM,111112 the PC was not well protected by intellectual property laws
audio_659|As a consequence, IBM quickly began losing its market dominance to emerging competitors in the PC market|As a consequence, IBM quickly began losing its market dominance to emerging competitors in the PC market
audio_660|Continuing a trend started in the 1990s of downsizing its operations and divesting from commodity production, IBM sold its personal computer division to the Lenovo Group in two hundred5.|Continuing a trend started in the 1990s of downsizing its operations and divesting from commodity production, IBM sold its personal computer division to the Lenovo Group in two hundred5.
audio_661|IBM's market capitalization was valued at over 153 billion as of May twenty twenty-four.113 Despite its relative decline within the technology sector,114 IBM remains the seventh largest technology company by revenue, and 67th largest overall company by revenue in the United States|IBM's market capitalization was valued at over 153 billion as of May twenty twenty-four.113 Despite its relative decline within the technology sector,114 IBM remains the seventh largest technology company by revenue, and 67th largest overall company by revenue in the United States
audio_662|The key trends of IBM are as at the financial year ending December 31119120|The key trends of IBM are as at the financial year ending December 31119120
audio_663|The company's 15-member board of directors are responsible for overall corporate management and includes the current or former CEOs of Anthem, Dow Chemical, Johnson and Johnson, Royal Dutch Shell, UPS, and Vanguard as well as the president of Cornell University and a retired U.S|The company's 15-member board of directors are responsible for overall corporate management and includes the current or former CEOs of Anthem, Dow Chemical, Johnson and Johnson, Royal Dutch Shell, UPS, and Vanguard as well as the president of Cornell University and a retired U.S
audio_664|IBM is headquartered in Armonk, New York, a community 37 miles 60 km north of Midtown Manhattan.125 A nickname for the company is the "Colossus of Armonk".126 Its principal building, referred to as CHQ, is a 283,000-square-foot 26,300 m2 glass and stone edifice on a 25-acre 10 ha parcel amid a 432-acre former apple orchard the company purchased in the mid-1950s.127 There are two other IBM buildings within walking distance of CHQ the North Castle office, which previously served as IBM's headquarters and the Louis V|IBM is headquartered in Armonk, New York, a community 37 miles 60 km north of Midtown Manhattan.125 A nickname for the company is the "Colossus of Armonk".126 Its principal building, referred to as CHQ, is a 283,000-square-foot 26,300 m2 glass and stone edifice on a 25-acre 10 ha parcel amid a 432-acre former apple orchard the company purchased in the mid-1950s.127 There are two other IBM buildings within walking distance of CHQ the North Castle office, which previously served as IBM's headquarters and the Louis V
audio_665|Gerstner, Jr., Center for Learning128 formerly known as IBM Learning Center ILC, a resort hotel and training center, which has 182 guest rooms, 31 meeting rooms, and various amenities.129|Gerstner, Jr., Center for Learning128 formerly known as IBM Learning Center ILC, a resort hotel and training center, which has 182 guest rooms, 31 meeting rooms, and various amenities.129
audio_666|In Beijing, China, IBM occupies Pangu Plaza,130 the city's seventh tallest building and overlooking Beijing National Stadium "Bird's Nest", home to the two hundred8 Summer Olympics.|In Beijing, China, IBM occupies Pangu Plaza,130 the city's seventh tallest building and overlooking Beijing National Stadium "Bird's Nest", home to the two hundred8 Summer Olympics.
audio_667|It has facilities in Coimbatore, Chennai, Kochi, Ahmedabad, Delhi, Kolkata, Mumbai, Pune, Gurugram, Noida, Bhubaneshwar, Surat, Visakhapatnam, Hyderabad, Bangalore and Jamshedpur.|It has facilities in Coimbatore, Chennai, Kochi, Ahmedabad, Delhi, Kolkata, Mumbai, Pune, Gurugram, Noida, Bhubaneshwar, Surat, Visakhapatnam, Hyderabad, Bangalore and Jamshedpur.
audio_668|Other notable buildings include the IBM Rome Software Lab Rome, Italy, Hursley House Winchester, UK, 330 North Wabash Chicago, Illinois, United States, the Cambridge Scientific Center Cambridge, MassachuseT T S, United States, the IBM Toronto Software Lab Toronto, Canada, the IBM Building, Johannesburg Johannesburg, South Africa, the IBM Building Seattle Seattle, Washington, United States, the IBM Hakozaki Facility Tokyo, Japan, the IBM Yamato Facility Yamato, Japan, the IBM Canada Head Office Building Ontario, Canada and the Watson I O T Headquarters131 Munich, Germany|Other notable buildings include the IBM Rome Software Lab Rome, Italy, Hursley House Winchester, UK, 330 North Wabash Chicago, Illinois, United States, the Cambridge Scientific Center Cambridge, MassachuseT T S, United States, the IBM Toronto Software Lab Toronto, Canada, the IBM Building, Johannesburg Johannesburg, South Africa, the IBM Building Seattle Seattle, Washington, United States, the IBM Hakozaki Facility Tokyo, Japan, the IBM Yamato Facility Yamato, Japan, the IBM Canada Head Office Building Ontario, Canada and the Watson I O T Headquarters131 Munich, Germany
audio_669|Van der Rohe's building in Chicago was recognized with the 1990 Honor Award from the National Building Museum.132|Van der Rohe's building in Chicago was recognized with the 1990 Honor Award from the National Building Museum.132
audio_670|As of 2016update, these offerings fall into the categories of cloud computing, artificial intelligence, commerce, data and analytics, Internet of things I O T,133 IT infrastructure, mobile, digital workplace134 and cybersecurity.135|As of 2016update, these offerings fall into the categories of cloud computing, artificial intelligence, commerce, data and analytics, Internet of things I O T,133 IT infrastructure, mobile, digital workplace134 and cybersecurity.135
audio_671|In 1990, IBM released the Power microprocessors, which were designed into many console gaming systems, including Xbox 360,136 PlayStation 3, and Nintendo's Wii U.137138 IBM Secure Blue is encryption hardware that can be built into microprocessors,139 and in 2014, the company revealed TrueNorth, a neuromorphic CMOS integrated circuit and announced a 3 billion investment over the following five years to design a neural chip that mimics the human brain, with 10 billion neurons and 100 trillion synapses, but that uses just 1 kilowatt of power.140 In 2016, the company launched all-flash arrays designed for small and midsized companies, which includes software for data compression, provisioning, and snapshots across various systems.141|In 1990, IBM released the Power microprocessors, which were designed into many console gaming systems, including Xbox 360,136 PlayStation 3, and Nintendo's Wii U.137138 IBM Secure Blue is encryption hardware that can be built into microprocessors,139 and in 2014, the company revealed TrueNorth, a neuromorphic CMOS integrated circuit and announced a 3 billion investment over the following five years to design a neural chip that mimics the human brain, with 10 billion neurons and 100 trillion synapses, but that uses just 1 kilowatt of power.140 In 2016, the company launched all-flash arrays designed for small and midsized companies, which includes software for data compression, provisioning, and snapshots across various systems.141
audio_672|IBM Cloud includes infrastructure as a service E-ass, software as a service Sass and platform as a service Pass offered through public, private and hybrid cloud delivery models|IBM Cloud includes infrastructure as a service E-ass, software as a service Sass and platform as a service Pass offered through public, private and hybrid cloud delivery models
audio_673|For instance, the IBM Bluemix Pass enables developers to quickly create complex websites on a pay-as-you-go model|For instance, the IBM Bluemix Pass enables developers to quickly create complex websites on a pay-as-you-go model
audio_674|In May 2022, IBM announced the company had signed a multi-year Strategic Collaboration Agreement with Amazon Web Services to make a wide variety of IBM software available as a service on A W S Marketplace|In May 2022, IBM announced the company had signed a multi-year Strategic Collaboration Agreement with Amazon Web Services to make a wide variety of IBM software available as a service on A W S Marketplace
audio_675|Additionally, the deal includes both companies making joint investments that make it easier for companies to consume IBM's offering and integrate them with A W S, including developer training and software development for select markets.146|Additionally, the deal includes both companies making joint investments that make it easier for companies to consume IBM's offering and integrate them with A W S, including developer training and software development for select markets.146
audio_676|IBM Watson is a technology platform that uses natural language processing and machine learning to reveal insights from large amounts of unstructured data.147 Watson was debuted in 2011 on the American game show Jeopardy!, where it competed against champions Ken Jennings and Brad Rutter in a three-game tournament and won|IBM Watson is a technology platform that uses natural language processing and machine learning to reveal insights from large amounts of unstructured data.147 Watson was debuted in 2011 on the American game show Jeopardy!, where it competed against champions Ken Jennings and Brad Rutter in a three-game tournament and won
audio_677|IBM also provides infrastructure for the New York City Police Department through their IBM Cognos Analytics to perform data visualizations of CompStat crime data.151|IBM also provides infrastructure for the New York City Police Department through their IBM Cognos Analytics to perform data visualizations of CompStat crime data.151
audio_678|In March 2020, it was announced that IBM will build the first quantum computer in Ehningen, Germany|In March 2020, it was announced that IBM will build the first quantum computer in Ehningen, Germany
audio_679|Watsonx has multiple services for training and fine tuning models based on confidential data.156 A year later, IBM open-sourced Granite code models and put them on Hugging Face for public use.157|Watsonx has multiple services for training and fine tuning models based on confidential data.156 A year later, IBM open-sourced Granite code models and put them on Hugging Face for public use.157
audio_680|Research has been part of IBM since its founding, and its organized efforts trace their roots back to 1945, when the Watson Scientific Computing Laboratory was founded at Columbia University in New York City, converting a renovated fraternity house on Manhattan's West Side into IBM's first laboratory|Research has been part of IBM since its founding, and its organized efforts trace their roots back to 1945, when the Watson Scientific Computing Laboratory was founded at Columbia University in New York City, converting a renovated fraternity house on Manhattan's West Side into IBM's first laboratory
audio_681|Now, IBM Research constitutes the largest industrial research organization in the world, with 12 labs on 6 continents.160 IBM Research is headquartered at the Thomas J|Now, IBM Research constitutes the largest industrial research organization in the world, with 12 labs on 6 continents.160 IBM Research is headquartered at the Thomas J
audio_682|IBM has been a leading proponent of the Open Source Initiative, and began supporting Li-nux in 1998.163 The company invests billions of dollars in services and software based on Li-nux through the IBM Li-nux Technology Center, which includes over 300 Li-nux kernel developers.164 IBM has also released code under different open-source licenses, such as the platform-independent software framework Eclipse worth approximately 40 million at the time of the donation,165 the three-sentence International Components for Unicode ICU license, and the Java-based relational database management system RDBMS Apache Derby|IBM has been a leading proponent of the Open Source Initiative, and began supporting Li-nux in 1998.163 The company invests billions of dollars in services and software based on Li-nux through the IBM Li-nux Technology Center, which includes over 300 Li-nux kernel developers.164 IBM has also released code under different open-source licenses, such as the platform-independent software framework Eclipse worth approximately 40 million at the time of the donation,165 the three-sentence International Components for Unicode ICU license, and the Java-based relational database management system RDBMS Apache Derby
audio_683|Famous inventions and developments by IBM include the automated teller machine ATM, dynamic random access memory DRAM, the electronic keypunch, the financial swap, the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, RISC, the SABRE airline reservation system, S Q L, the Universal Product Code UPC bar code, and the virtual machine|Famous inventions and developments by IBM include the automated teller machine ATM, dynamic random access memory DRAM, the electronic keypunch, the financial swap, the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, RISC, the SABRE airline reservation system, S Q L, the Universal Product Code UPC bar code, and the virtual machine
audio_684|Additionally, in 1990 company scientists used a scanning tunneling microscope to arrange 35 individual xenon atoms to spell out the company acronym, marking the first structure assembled one atom at a time.166 A major part of IBM research is the generation of patents|Additionally, in 1990 company scientists used a scanning tunneling microscope to arrange 35 individual xenon atoms to spell out the company acronym, marking the first structure assembled one atom at a time.166 A major part of IBM research is the generation of patents
audio_685|IBM is nicknamed Big Blue partly due to its blue logo and color scheme,174175 and also in reference to its former de facto dress code of white shirts with blue suits.174176 The company logo has undergone several changes over the years, with its current "8-bar" logo designed in 1972 by graphic designer Paul Rand.177 It was a general replacement for a 13-bar logo, since period photocopiers did not render narrow as opposed to tall stripes well|IBM is nicknamed Big Blue partly due to its blue logo and color scheme,174175 and also in reference to its former de facto dress code of white shirts with blue suits.174176 The company logo has undergone several changes over the years, with its current "8-bar" logo designed in 1972 by graphic designer Paul Rand.177 It was a general replacement for a 13-bar logo, since period photocopiers did not render narrow as opposed to tall stripes well
audio_686|Since 1996, IBM has been the exclusive technology partner for the Masters Tournament, one of the four major championships in professional golf, with IBM creating the first Masters.org 1996, the first course cam 1998, the first iPhone app with live streaming two hundred9, and first-ever live 4K Ultra High Definition feed in the United States for a major sporting event 2016.178 As a result, IBM CEO Ginni Rometty became the third female member of the Master's governing body, the Augusta National Golf Club.179 IBM is also a major sponsor in professional tennis, with engagements at the U.S|Since 1996, IBM has been the exclusive technology partner for the Masters Tournament, one of the four major championships in professional golf, with IBM creating the first Masters.org 1996, the first course cam 1998, the first iPhone app with live streaming two hundred9, and first-ever live 4K Ultra High Definition feed in the United States for a major sporting event 2016.178 As a result, IBM CEO Ginni Rometty became the third female member of the Master's governing body, the Augusta National Golf Club.179 IBM is also a major sponsor in professional tennis, with engagements at the U.S
audio_687|Open, Wimbledon, the Australian Open, and the French Open.180 The company also sponsored the Olympic Games from 1960 to two hundred0,181 and the National Football League from two hundred3 to 2012.182 In Japan, IBM employees also have an American football team complete with pro stadium, cheerleaders and televised games, competing in the Japanese X-League as the "Big Blue".183|Open, Wimbledon, the Australian Open, and the French Open.180 The company also sponsored the Olympic Games from 1960 to two hundred0,181 and the National Football League from two hundred3 to 2012.182 In Japan, IBM employees also have an American football team complete with pro stadium, cheerleaders and televised games, competing in the Japanese X-League as the "Big Blue".183
audio_688|In two hundred4, concerns were raised related to IBM's contribution in its early days to pollution in its original location in Endicott, New York.184185 IBM reported its total CO2e emissions direct and indirect for the twelve months ending December 31, 2020 at 621 kilotons -324 -34.3 year-on-year.186 In February 2021, IBM committed to achieve net zero greenhouse gas emissions by the year 2030.187|In two hundred4, concerns were raised related to IBM's contribution in its early days to pollution in its original location in Endicott, New York.184185 IBM reported its total CO2e emissions direct and indirect for the twelve months ending December 31, 2020 at 621 kilotons -324 -34.3 year-on-year.186 In February 2021, IBM committed to achieve net zero greenhouse gas emissions by the year 2030.187
audio_689|In business, former IBM employees include Apple Inc|In business, former IBM employees include Apple Inc
audio_690|CEO Tim Cook,190 former EDS CEO and politician Ross Perot, Microsoft chairman John W|CEO Tim Cook,190 former EDS CEO and politician Ross Perot, Microsoft chairman John W
audio_691|Thompson, SAP co-founder Hasso Plattner, Gartner founder Gideon Gartner, Advanced Micro Devices AMD CEO Lisa Su,191 Cadence Design Systems CEO Anirudh Devgan,192 former Citizens Financial Group CEO Ellen Alemany, former Yahoo! chairman Alfred Amoroso, former ATT CEO C|Thompson, SAP co-founder Hasso Plattner, Gartner founder Gideon Gartner, Advanced Micro Devices AMD CEO Lisa Su,191 Cadence Design Systems CEO Anirudh Devgan,192 former Citizens Financial Group CEO Ellen Alemany, former Yahoo! chairman Alfred Amoroso, former ATT CEO C
audio_692|Michael Armstrong, former Xerox Corporation CEOs David T|Michael Armstrong, former Xerox Corporation CEOs David T
audio_693|Richard Thoman,193 former Fair Isaac Corporation CEO Mark N|Richard Thoman,193 former Fair Isaac Corporation CEO Mark N
audio_694|Greene,194 Citrix Systems co-founder Ed Iacobucci, ASOS.com chairman Brian McBride, former Lenovo CEO Steve Ward, and former Teradata CEO Kenneth Simonds.|Greene,194 Citrix Systems co-founder Ed Iacobucci, ASOS.com chairman Brian McBride, former Lenovo CEO Steve Ward, and former Teradata CEO Kenneth Simonds.
